sentence,stanceConsolidated,stanceNotConsolidated,coderConsolidated,coderNotConsolidated,publishDate,title,publisherGroup,publisher,category,keywordGroups,keywords,author
"Ja selliseid inimesi on Eesti võimukoridorides ohtralt!Veel hullem on kogu see maailma päästmine, kus meile on Brüsseli käsul oma huvidest tähtsamad Süüria sõjapõgenikud, üle Vahemere tulevad neegritest majandusimmigrandid, Lääne-Euroopas välja mõeldud geiõigused ja sooneutraalsus, mujalt siia tulevad töölised ja nii edasi – ainult mitte omad inimesed.",1,1,A,J,29.05.2018 08:41,"Eesti riigivõim ei ehita oma riiki, vaid tegeleb Suure Hundi käsul maailma parandamisega",UuedUudised,UuedUudised,Arvamus,"['ränne', 'pagulased', 'rass']","['migra', 'põgenik', '([\\W ]|^)neeg']",
Massiimmigratsioon oleks Euroopale hukatuslik ja see ei lahendaks maailmas mitte midagi.2018.,2,2,A,J,13.10.2020 08:31,Aafriklaste massiränne Euroopasse tähendab Musta Mandri kolimist külmemasse kliimasse ja muud ei midagi,UuedUudised,UuedUudised,Maailm,['ränne'],['migra'],
"Lõppjäreldus on, et Eesti rahvaarv kasvab võõraste sisserändest, mis on rahvusriigile ohtlik.“Iga-aastase paarituhandelise sisserände ülekaalu puhul hakkaks eestlaste suhtarv rahvastikus aegamööda vähenema.",2,3,A,J,21.01.2019 10:22,"Eesti rahvaarv suureneb, kuid rahvusriigina pole põhjust hõisata",UuedUudised,UuedUudised,Eesti,['ränne'],['rände'],
"Kui meeleavaldajad hakkavad liikuma, organiseerijate palvel kõhedusttekitavalt vaikides, ühineb pensionär nendega.ee juhtus demonstratsioonil, mille korraldas PEGIDA ehk Patriotische Europäer gegen die Islamisierung des Abendlandes (patriootlikud eurooplased õhtumaa islamiseerimise vastu).",3,MH,A,J,06.01.2015 01:30,Dresdeni rahvahulgad peegeldavad Euroopa hirmu migrantide ees,EkspressGrupp,Eesti Päevaleht,,['rahvus'],['islam'],
"See sõda tähendab, et peame ka Eestis oma julgeolekus arvesse võtma islami ekstremismi ohu hoopis uut olukorda silmas pidades."".",3,MH,A,J,14.11.2015 13:21,"Reinsalu: lähiajal karmistatakse terrorivastaseid seadusi, äärmuslastel ei tohi olla mingit kohta oma mürgi külvamisel",EkspressGrupp,Delfi,,['rahvus'],['islam'],
"”“Läbimõeldud, kogukonna juhitud ja täielikult ressurssidega kaetud tegevuskava, mis tegeleb mustanahaliste konkreetsete väljakutsetega, peab olema esmatähtis,” kirjutas Cullors ja lisas, et “me tahame oma häälte eest midagi.”BLM-i asutaja väitis koguni, et Biden ja Harris võitsid 2020. aasta presidendivalimised tänu mustanahalistele – seda hoolimata sellest, et valimistulemused pole veel kinnitatud, samuti hoolimata asjaolust, et president Donald Trump pälvis tegelikult suure osa mustanahaliste valijate toetuse, saades mustanahaliste häältest varasema 13 protsendi asemel 18 protsenti.„Ilma mustanahaliste suure toetuseta oleks valimistel hoopis teised tulemused.",3,MH,A,J,12.11.2020 14:15,"“Black Lives Matter” võttis Bideni ja Harrise pantvangi, nõudes võimu jagamist toetuse eest valimistel",UuedUudised,UuedUudised,Maailm,['rass'],['mustanahali'],
"Jääb vaid küsida — millal ka liibüalased käega löövad ja toimuval vabavoolus minna lasevad, kui Euroopa vaid räägib rändekriisi ohjeldamisest, ise aga valab õli tulle?Hundid inimõiguslaste nahas on juba asunud haukuma ka väljaspoole EL-i rajatavate põgenikekeskuste peale, väites, et nagunii saavat neist “teised Guantanamod”.",MH,2,A,J,22.06.2018 08:00,"Rändekriis Vahemerel — kas vaid Liibüa rannavalve töötab selle nimel, et migrandid mere lõunakaldale jääks?",UuedUudised,UuedUudised,Maailm,"['ränne', 'pagulased']","['rände', 'põgenik']",
"Samuti nimetas ta nn pehmeid sihtmärke, mida moslemitest tsiviilvastupanuvõitlejad saavad rünnata, täites sellega d˛ihaadi ja vastupanu kohust ning toetades sellega kaudselt relvastatud pühasõdalasi, kas või näiteks süüdata metsi kuumadel suvekuudel.35 Kaost peab külvama igal pool, nii otsene kui ka kaudne terror, sabotaa˛ ja õõnestustöö on lubatud ja lausa nõutav.",MH,MH,A,J,13.12.2015 10:25,Globaalse d˛ihaadi arhitekt Süüriast: Abu Musab al-Suri,EkspressGrupp,Forte,,['rahvus'],['moslem'],
"Maaaelu edasine väljasuretamine ehk uus sundkollektiviseerimine haldusperestroika näol, millega aetakse segamini Eestimaa ajalooline maakaart ja seni kinnistunud kogukonnad, ja tekitatakse maapiirkondades lugematult asjatut sõkeldamist (sõgedat sekeldamist).Jätkuv kuuletumine Brüsselile isegi kõigis pisiasjades, rääkimata islami sõdalaste jätkuvast sissetoomisest, võhivõõraste väljast sissetoodud õnneõngitsejate eelistamine oma ausatele kodanikele, koolides pagulas-poliitilse ajupesu teostamine ja ideoloogiline totalitarism meedias.",2,1,A,J,20.02.2017 17:39,Malle Pärn: Veel üks pidu katku ajal,UuedUudised,UuedUudised,Arvamus,"['pagulased', 'rahvus']","['pagula', 'islam']",
"Rahvusvahelise transpordiga tegelevad asutused on sellest vabastatud.“Daum rääkis Ekspressile, et õnnetusi ja terviserikkeid juhtub nii eestlastega välismaal kui välismaalastega Eestis ning keegi peab legaalselt nende surnukehad koduriiki toimetama.",MH,MH,A,J,09.09.2020 00:30,Matusebüroo soovib lahkunute vedamiseks koroonaerandit,EkspressGrupp,Eesti Ekspress,,['välistööjõud'],['välismaala'],Eesti Ekspress
