text,labels,predictions_stance,probabilities_outputs_stance
"Lisaks antakse seadusemuudatusega politsei- ja piirivalveametile (PPA) võimalus hinnata vajadusel välismaalast Eestisse kutsuva tööandja või õppeasutus ebausaldusväärseks ning võtta hinnang aluseks edasistes välismaalaste Eestisse lubamisega seotud menetlustes.“Kutsuja ebausaldusväärseks tunnistamine on ennetav meede, et kaitsta Eesti majandust ebaausa konkurentsi eest, mis saavutatakse töötamise tingimustega skeemitamise teel, ning välistöölisi ja -tudengeid seadust rikkuva tööandja või õppeasutuse eest,” sõnas Helme.",1,1,"[0.1, 0.64, 0.27]"
Ameerika Ühendriikide föderaalkohtunik blokeeris ööl vastu tänast üleriigiliselt president Donald Trumpi sissesõidukeelu seitsme moslemiriigi kodanike suhtes.,0,1,"[0.39, 0.47, 0.15]"
"Järelikult on see organiseeritud islami invasioon Euroopasse, mitte mingi vaeste pagulaste sõja jalust päästmine.“",0,0,"[0.88, 0.1, 0.03]"
"Lisaks väljaõppemissioonile osalevad Eesti kaitseväelased jalaväerühma suuruse üksusega Prantsusmaa juhitavas mässutõrjeoperatsioonis Barkhane, toetades Saheli regioonis viie riigi võitlust islamiäärmuslastega ja andes seeläbi panuse Euroopa-suunalise ebaseadusliku immigratsiooni ning inimkaubanduse tõkestamisel.",2,2,"[0.02, 0.25, 0.73]"
Ligi kaks kolmandikku (64 protsenti) kolmandate riikide kodanikest sisserändajatest olid Venemaa ja Ukraina kodanikud.,1,1,"[0.03, 0.92, 0.05]"
Varjupaigataotlejate hulk on viimase pooleteise aastaga 47% suurenenud.,1,1,"[0.02, 0.8, 0.19]"
"Ei maksa unustada, et 74% rasketest kuritegudest sooritatakse Šveistis just sisserännanud asüülitaotlejate ning immigrantide poolt, lisab Espenberg, ja see on Šveitsi Justiitsministeeriumi ametlik statistika.”UU",0,1,"[0.06, 0.87, 0.06]"
"Eesti pakub välismaalastele e-residentsust, mille abil saab kasutada elektroonilisi teenuseid ning asutada ettevõtteid.",1,2,"[0.01, 0.11, 0.87]"
"Pühapäeval toimus Lesbose Moria laagris mitme hukkunuga tulekahju, mille olid süüdanud sealsamas elavad migrandid, kes ühtlasi üritasid takistada tuletõrjel tulekahju kustutamist.",1,1,"[0.41, 0.54, 0.05]"
"Uus seadus võimaldaks kohtutel saata igaveseks maalt välja välismaalased, kes on seotud inimkaubandusega, illegaalse piiriületusega, piiritarade lõhkumisega või piiritara ehituse takistamisega ja illegaalsele immigratsioonile kaasa aitamisega.",1,0,"[0.67, 0.25, 0.08]"
"Kardetakse, et seadus seab ohtu India ilmaliku staatuse ja diskrimineerib moslemeid.",1,0,"[0.62, 0.3, 0.07]"
"Ja kuna mina olen Dufftowni kõige lahedam mees, siis … järelikult olengi ma Euroopa kõige ägedam kutt.“ Selliseid inimesi leiame aga hulganisti ka illegaalsete immigrantide seast, sest ega nad muidu ei üritaks omaenda, maailma parimaid, arusaamu peale suruda oma uues asupaigas Euroopas.",0,0,"[0.83, 0.11, 0.06]"
